feature,importance
cat__DOMINANT_CRIME_TYPE_THREATENING PHONE CALLS/LETTERS,7.459294771445336e-07
cat__DOMINANT_PREMISE_CHECK CASHING*,6.39975707773894e-07
cat__DOMINANT_PREMISE_MTA - EXPO LINE - FARMDALE,6.040274906056347e-07
cat__DOMINANT_PREMISE_COLISEUM,5.485442043375116e-07
"cat__DOMINANT_PREMISE_ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",5.318182226564979e-07
cat__DOMINANT_CRIME_TYPE_BOMB SCARE,5.164127160656981e-07
cat__DOMINANT_PREMISE_MTA - GREEN LINE - AVALON,5.096975139794565e-07
cat__DOMINANT_PREMISE_DETENTION/JAIL FACILITY,4.557903445717925e-07
cat__DOMINANT_PREMISE_PATIO*,4.00705422767958e-07
cat__DOMINANT_PREMISE_MTA - RED LINE - HOLLYWOOD/WESTERN,3.642468814522814e-07
cat__DOMINANT_PREMISE_VACANT LOT,3.4048545182455414e-07
cat__DOMINANT_PREMISE_STORAGE SHED,3.2315646345111844e-07
"cat__DOMINANT_CRIME_TYPE_RAPE, ATTEMPTED",3.140040293961986e-07
cat__DOMINANT_PREMISE_PROJECT/TENEMENT/PUBLIC HOUSING,2.996065390622483e-07
cat__DOMINANT_PREMISE_WEBSITE,2.8822454113236195e-07
cat__DOMINANT_CRIME_TYPE_SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2.8469181365571653e-07
cat__DOMINANT_CRIME_TYPE_BOAT - STOLEN,2.7410392274747787e-07
cat__DOMINANT_PREMISE_THE BEVERLY CENTER,2.732074095937018e-07
cat__DOMINANT_PREMISE_MTA - EXPO LINE - LA CIENEGA/JEFFERSON,2.6700551939468565e-07
cat__DOMINANT_PREMISE_NAIL SALON,2.6590865730100933e-07
cat__DOMINANT_PREMISE_BAR/SPORTS BAR (OPEN DAY & NIGHT),2.196365287579814e-07
cat__DOMINANT_PREMISE_BUS-CHARTER/PRIVATE,2.0814752256536782e-07
cat__DOMINANT_PREMISE_BUS STOP/LAYOVER (ALSO QUERY 124),1.9482358494826588e-07
"cat__DOMINANT_CRIME_TYPE_SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1.4984553243416148e-07
cat__DOMINANT_PREMISE_PRIVATE SCHOOL/PRESCHOOL,1.423997641695216e-07
cat__DOMINANT_CRIME_TYPE_PANDERING,1.322134334940313e-07
cat__DOMINANT_PREMISE_MTA - GOLD LINE - CHINATOWN,1.0271165423686001e-07
cat__DOMINANT_PREMISE_MTA - RED LINE - 7TH AND METRO CENTER,9.991821093477816e-08
cat__DOMINANT_PREMISE_CEMETARY*,8.868016511715822e-08
"cat__DOMINANT_CRIME_TYPE_BUNCO, ATTEMPT",7.891339755774921e-08
cat__DOMINANT_PREMISE_MTA - RED LINE - WILSHIRE/VERMONT,7.808545923761061e-08
cat__DOMINANT_PREMISE_AMUSEMENT PARK*,7.62213203867194e-08
cat__DOMINANT_PREMISE_MTA - RED LINE - VERMONT/BEVERLY,7.138045743556672e-08
"cat__DOMINANT_PREMISE_DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",7.119238171705317e-08
cat__DOMINANT_PREMISE_RIVER BED*,6.091775897350095e-08
cat__DOMINANT_CRIME_TYPE_ORAL COPULATION,5.8517865320116166e-08
cat__DOMINANT_PREMISE_CLEANER/LAUNDROMAT,5.689741246325618e-08
cat__DOMINANT_CRIME_TYPE_LEWD CONDUCT,4.3875983253374176e-08
cat__DOMINANT_PREMISE_MTA - RED LINE - WESTLAKE/MACARTHUR PARK,4.125780753006136e-08
cat__DOMINANT_PREMISE_MUSEUM,3.394893833512517e-08
cat__DOMINANT_CRIME_TYPE_SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,2.997071335129399e-08
